0 , XX , XX , les , demoiselles , de ,  , B-product.
1 , XX , les , demoiselles , de , Rochefort ,  , I-product.
2 , les , demoiselles , de , Rochefort , !VIRGULE ,  , I-product.
3 , demoiselles , de , Rochefort , !VIRGULE , la , LOC PERS  , I-product.
4 , de , Rochefort , !VIRGULE , la , comédie ,  , O.
5 , Rochefort , !VIRGULE , la , comédie , musicale ,  , O.
6 , !VIRGULE , la , comédie , musicale , de ,  , O.
7 , la , comédie , musicale , de , Michel ,  , O.
8 , comédie , musicale , de , Michel , Legrand ,  , O.
9 , musicale , de , Michel , Legrand , !VIRGULE , PERS ORG  , B-person.
10 , de , Michel , Legrand , !VIRGULE , ce , PERS  , I-person.
11 , Michel , Legrand , !VIRGULE , ce , sera ,  , O.
13 , !VIRGULE , ce , sera , à_partir_du , vingt ,  , O.
15 , sera , à_partir_du , vingt , six , septembre ,  , O.
16 , à_partir_du , vingt , six , septembre , au ,  , O.
17 , vingt , six , septembre , au , Palais ,  , O.
18 , six , septembre , au , Palais , des ,  , O.
19 , septembre , au , Palais , des , congrès , LOC ORG PERS  , B-geoloc.
20 , au , Palais , des , congrès , de ,  , I-geoloc.
21 , Palais , des , congrès , de , Paris ,  , I-geoloc.
22 , des , congrès , de , Paris , !VIRGULE ,  , O.
23 , congrès , de , Paris , !VIRGULE , un , LOC ORG PERS PROD  , B-geoloc.
24 , de , Paris , !VIRGULE , un , mot ,  , O.
25 , Paris , !VIRGULE , un , mot , encore ,  , O.
26 , !VIRGULE , un , mot , encore , pour ,  , O.
27 , un , mot , encore , pour , vous ,  , O.
30 , pour , vous , dire , que , ce ,  , O.
33 , que , ce , sont , Frederic , Sorel ,  , O.
34 , ce , sont , Frederic , Sorel , et , PERS  , B-person.
35 , sont , Frederic , Sorel , et , Mélanie ,  , I-person.
37 , Sorel , et , Mélanie , Cohl , qui , PERS  , B-person.
38 , et , Mélanie , Cohl , qui , reprennent ,  , I-person.
40 , Cohl , qui , reprennent , les , rôles ,  , O.
41 , qui , reprennent , les , rôles , tenus ,  , O.
42 , reprennent , les , rôles , tenus , au ,  , O.
43 , les , rôles , tenus , au , cinéma ,  , O.
44 , rôles , tenus , au , cinéma , par ,  , O.
45 , tenus , au , cinéma , par , Catherine ,  , O.
46 , au , cinéma , par , Catherine , Deneuve ,  , O.
47 , cinéma , par , Catherine , Deneuve , et , PERS  , B-person.
48 , par , Catherine , Deneuve , et , Françoise , PERS  , I-person.
50 , Deneuve , et , Françoise , Dorléac , . , PERS  , B-person.
51 , et , Françoise , Dorléac , . , XX ,  , I-person.
54 , XX , XX , midi , vingt , trois ,  , O.
57 , vingt , trois , sur , France_Info , . ,  , O.
58 , trois , sur , France_Info , . , XX , ORG  , B-org.
